,Unnamed: 0,time,refID_coin,price,marketCap,CirculatingSupply,Volume24h,Movement1h,Movement24h
2,2,2018-01-17 11:25:00,1444,1.13,43630734374,38739142811,6058320000,-3.03,-18.17
22,1444,2018-01-17 11:30:00,1444,1.13,43838763571,38739142811,6088930000,-2.31,-17.41
42,2886,2018-01-17 11:35:00,1444,1.14,44048729725,38739142811,6079900000,-1.75,-16.64
62,4328,2018-01-17 11:45:00,1444,1.12,43567202180,38739142811,5994930000,-2.74,-17.07
82,5770,2018-01-17 11:50:00,1444,1.11,43124801169,38739142811,5945460000,-4.01,-17.74
102,7212,2018-01-17 11:55:00,1444,1.09,42255882195,38739142811,5795420000,-5.92,-19.3
122,8654,2018-01-17 12:00:00,1444,1.06,41238592305,38739142811,5660570000,-7.79,-21.17
142,10096,2018-01-17 12:05:00,1444,1.08,41954879056,38739142811,5765040000,-5.71,-19.75
162,11538,2018-01-17 12:10:00,1444,1.08,41725155939,38739142811,5675270000,-5.68,-20.19
182,12980,2018-01-17 12:15:00,1444,1.07,41288565799,38739142811,5573460000,-6.36,-21.13
202,14422,2018-01-17 12:20:00,1444,1.05,40716001269,38739142811,5514940000,-7.45,-22.32
222,15864,2018-01-17 12:25:00,1444,1.06,40983301354,38739142811,5552680000,-6.58,-21.72
242,17306,2018-01-17 13:00:00,1444,1.03,39779676187,38739142811,5341960000,-4.74,-24.96
262,18748,2018-01-17 13:05:00,1444,1.02,39671981370,38739142811,5330890000,-4.29,-25.43
282,20190,2018-01-17 13:10:00,1444,1.05,40513782943,38739142811,5477150000,-1.71,-23.93
302,21632,2018-01-17 13:15:00,1444,1.08,41868103376,38739142811,5627500000,2.06,-21.48
322,23074,2018-01-17 13:20:00,1444,1.1,42599885784,38739142811,5675530000,4.39,-20.23
342,24516,2018-01-17 13:25:00,1444,1.09,42336459612,38739142811,5633810000,4.1,-20.94
362,25958,2018-01-17 13:30:00,1444,1.07,41507054565,38739142811,5553350000,2.06,-22.76
382,27400,2018-01-17 13:35:00,1444,1.08,42009113856,38739142811,5618230000,3.34,-22.1
402,28842,2018-01-17 13:40:00,1444,1.08,41957978187,38739142811,5603220000,3.59,-22.62
422,30284,2018-01-17 13:45:00,1444,1.06,41248664482,38739142811,5535120000,2.1,-23.99
442,31726,2018-01-17 13:50:00,1444,1.05,40720649966,38739142811,5466170000,0.86,-25.09
462,33168,2018-01-17 13:55:00,1444,1.04,40098886724,38739142811,5395240000,-0.71,-26.48
482,34610,2018-01-17 14:00:00,1444,1.04,40220915024,38739142811,5440400000,-0.79,-26.45
502,36052,2018-01-17 14:05:00,1444,1.04,40227888069,38739142811,5410600000,-1.23,-26.56
522,37494,2018-01-17 14:10:00,1444,1.03,40055111492,38739142811,5376520000,-2.25,-26.96
542,38936,2018-01-17 14:15:00,1444,1.06,40949210908,38739142811,5458260000,-0.57,-25.36
